Category,Project Name,Project Link,Creator
Performance Art,Deux Chevaux,https://www.kickstarter.com/projects/1322860107/deux-chevaux,William Mackrell
Art,London performance art: an analysis of censorship,https://www.kickstarter.com/projects/imagici/london-performance-art-an-analysis-of-censorship,M. Ryan Noble
Performance Art,Doug Fishbone's Peckham Ride:  A Bespoke Bus Tour,https://www.kickstarter.com/projects/1288569040/doug-fishbones-peckham-ride-a-bespoke-bus-tour,The Ballad of Peckham Rye
Painting,Share in Blow-Up-Dolls (stage 2)... A new exhibition!,https://www.kickstarter.com/projects/1859310385/share-in-blow-up-dolls-stage-2-a-new-exhibition,Mackenzie
Art,"""The World is My Country""",https://www.kickstarter.com/projects/peacenewspress/the-world-is-my-country,Peace News Press
Art,A Different Mirror: An Exhibition On Body Image,https://www.kickstarter.com/projects/1199281917/a-different-mirror-an-exhibition-on-body-image,The Body Narratives
Art,Goldsmiths MFA Degree Show 2014,https://www.kickstarter.com/projects/235949393/goldsmiths-mfa-degree-show-2014,Goldsmiths MFA Degree Show 2014
Art,SAVEART!,https://www.kickstarter.com/projects/cfcca/saveart,Alder Community High School & CFCCA
Mixed Media,YGT presents SKIN,https://www.kickstarter.com/projects/ygtcollective/skin-croen,YOUNG GOLD TEETH | KEA ILLUSTRATION (deleted)
Mixed Media,MOTHER TONGUE,https://www.kickstarter.com/projects/teresarendell/mother-tongue-2,TERESA RENDELL
Mixed Media,Duodecimal: Catalogue and website for MA Fine Art Show.,https://www.kickstarter.com/projects/duodecimal/duodecimal-catalogue-and-website-for-ma-fine-art-s,Claudia
Illustration,Endangered Animals Hard Enamel Pins,https://www.kickstarter.com/projects/enamelpins/endangered-animals-hard-enamel-pins,Caitlin McGovern
Art,3 months study at The Royal Drawing School,https://www.kickstarter.com/projects/1630030950/3-months-study-at-the-royal-drawing-school,Laura Moreton-Griffiths
Art,Roses - Limited art print - Make 100,https://www.kickstarter.com/projects/1871494243/roses-limited-art-print-make-100,Gary Wilkinson
Art,Art Tools Pin Set - for all you creative souls out there!,https://www.kickstarter.com/projects/joanofart/art-tools-pin-set-for-all-you-creative-souls-out-t,Joan of Art
Social Practice,Little Free Library Project for Highams Park,https://www.kickstarter.com/projects/1332488210/little-free-library-project-for-highams-park,Little Free Library Project
Illustration,Science on your plate - fun and colourful tableware for kids,https://www.kickstarter.com/projects/cutieandthefeast/science-on-your-plate-fun-and-colour-tableware-for-kids,Nicola Davies
Art,The Emergency Room,https://www.kickstarter.com/projects/354416897/the-emergency-room,Emrys
Sculpture,Danielle's Paper Wonderland!,https://www.kickstarter.com/projects/959742339/danielles-paper-wonderland,Danielle O'Malley
Art,The World At War 23rd October - 29th November 2016,https://www.kickstarter.com/projects/1204292894/the-world-at-war-23rd-october-29th-november-2016,Paul Brandford
Art,Snowflake Hare - Christmas Enamel Pin Badge,https://www.kickstarter.com/projects/flyingcheesetoastie/snowflake-hare-christmas-enamel-pin-badge,Rachel Elliott
Art,Birds of a feather tea towel,https://www.kickstarter.com/projects/1428815925/birds-of-a-feather-tea-towel,iain welch
Illustration,Sweet Dreams Hard Enamel Pins | Pastel Elixir,https://www.kickstarter.com/projects/ejw/sweet-dreams-hard-enamel-pins-pastel-elixir,Ellis Woolley
Illustration,Glitter Dragonfly Enamel Pins by Darwin Designs,https://www.kickstarter.com/projects/darwindesigns/glitter-dragonfly-enamel-pins-by-darwin-designs,Alexandra Jones
Installations,An installation to celebrate the first moon landing,https://www.kickstarter.com/projects/1255595644/an-installation-to-celebrate-the-first-moon-landin,Simon Belshaw
Art,Love Bunny! - Valentine's Hare Enamel Pin Badge,https://www.kickstarter.com/projects/flyingcheesetoastie/love-bunny-valentines-hare-enamel-pin-badge,Rachel Elliott
Illustration,BEE POSITIVE Enamel Pin Badge,https://www.kickstarter.com/projects/beepositive/bee-positive-enamel-pin-badge,Liz
Installations,Make Waves,https://www.kickstarter.com/projects/somedia/make-waves,Sophie O’Neill
Conceptual Art,LIVING LIBRARY + FOREST FIELD STATION,https://www.kickstarter.com/projects/eastlondonjuiceco/living-library-forest-field-station,East London Juice Co
